Organization ID,Organization Name,Completed Reg Req,Reg Form,Signatory,T&C,Organization Type,Callink URL,Callink Designation,Primary Campus Advisor
164810,"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/astro,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
92145,AAAA - Furries at Berkeley ,Yes,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/furries-at-berkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
378040,AAPI (Asian African Pacific Islander) Affinity Group,No,Inprogress,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AAPIAffinityGroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91428,ABA,No,Not Started,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aba,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
59420,Abba Modern,Yes,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abbamodern,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
160640,ABC Sketches,Yes,Approved,5,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abcsketches,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
342458,Abolitionist Collective at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ACAB,LEAD Center Category: Political & Advocacy RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
361720,Abolitionist Lawyering Project at Berkeley Law,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/abolitionistlawyeringprojectatberkeleylaw,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91630,Acacia,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/acacia,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
46073,"Academian Times, The",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/theacademiantimes,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
145478,Academic Cultural Enrichment Coaches ,Yes,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ACECoaches,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
289452,AccelerateHer@Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AccelerateHeratBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
343557,Accolade Consulting Group,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AccoladeConsultingGroup,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91787,Accountability and Transparency at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/accountabilityandtransparency,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
385344,ACEing Autism at Berkeley,No,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/aceingautismatberkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
321247,Achievement in Mentorship,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/achievementinmentorship,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91229,Acrobatic Yoga Club,No,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/AcrobaticYogaClub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91783,Active for Alzheimer's at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ActiveforAlzheimers,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
45986,Active Minds,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/activemindsatberkeley,LEAD Center Category: Service RSO,Jed Lee at jedtlee@berkeley.edu
45854,acts2fellowship ,Yes,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acts2fellowship,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
378039,Adam Smith Society,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AdamSmithSociety,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92006,Adobe at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/adobe,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
76138,Adoptee University,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AdopteeUniversity,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91887,Adrenaline Slacklines at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/adrenalineslacklines,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
92064,Adventist Christian Fellowship,No,Inprogress,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acf,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
114863,Adventist Student Movement ,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/adventiststudentmovement,LEAD Center Category: Spiritual RSO,Millicent Morris-Chaney at millicen@berkeley.edu
361228,Aerial and Pole Club at Berkeley ,No,Approved,3,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aerialandpole,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
376121,Aerospace at Haas,No,Denied,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AerospaceAtHaas,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92082,Aerospace SAE ,Yes,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/asae,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
59720,Affirm- Undergraduate Journal.,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/affirm,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
46372,Afghan Student Association,No,Approved,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/afghans,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
46720,Afghans For Peace,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/afghansforpeace,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91415,African American Student Leadership Team,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/africanamericanstudentleadershipteam,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
46689,African Arts Society,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/africanartssociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91566,African Diaspora Studies Student Collective,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/africandiasporastudiesstudentcollective,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
77191,African Inclusivity and Solidarity Association (formerly Organization of African Students),No,Not Started,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AISA,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
46086,African Maghreb Student Union,No,Not Started,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AfricanMaghrebStudentUnion,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
91789,African-American Law and Policy Report,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/bjalp,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91416,African-American Student Association,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/african-americanstudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91705,AFX Dance ,Yes,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/afxdance,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
159084,Afya @ Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/afyaberkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
164809,Agape at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AgapeatBerkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
378433,Aglet Noise Collective ,No,Approved,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AgletNoiseCollective,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
91322,Ahlul Bayt Society of Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ahlulbaytsociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91527,Ahlul Bayt Student Association of Berkeley,No,Not Started,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/absaberkeley,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91460,Ahmadiyya Muslim Student Association,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/calamsa,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91771,AI Entrepreneurs at Berkeley,No,Not Started,5,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aientrepreneurs,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
343230,AI in Medicine at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AIMed,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
325659,AI Legal Workshop ,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ailegalworkshop,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
350994,AI Safety at Berkeley,No,Approved,3,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aisafety,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
91977,AI Ventures at Berkeley,No,Inprogress,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AIVentures,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91883,Aid to Farmworkers,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AidToFarmworkers,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
91333,AidGrade at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/aidgrade,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91554,AIESEC at Berkeley Local Committee,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/aiesec,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
342998,Air Bears - Skydiving Club at Berkeley ,Yes,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AirBearsSC,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
144832,Alary Language,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/alarylanguage,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
132227,Albanian Association at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AAB,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
160868,"Alexander Hamilton Society, The",No,Inprogress,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alexanderhamiltonsociety,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
289776,Alianza Latine for Public Health Action ,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AlianzaLatineforPublicHealthAction,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
82719,Align: Undergraduate Society for Computational Biology,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/PendingSignatories,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
368926,Allergy Network,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/allergynetwork,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91828,Alliance for Diversity in Science and Engineering Chapter at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Alliance_for_Diversity_in_Science_and_Engineering,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91726,Alliance for Sustainable Economies,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ASE,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91791,Alpha Beta Pledge Class of Spring 2011,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/alphabetapledgeclassofspring2011,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91689,Alpha Chi Omega,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphachiomega,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods atjeff.woods@berkeley.edu
46589,Alpha Chi Sigma Professional Chemistry Fraternity,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alpha-chi-sigma,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91632,Alpha Delta Phi,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphadeltaphi,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
91690,Alpha Delta Pi,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphadeltapi,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods atjeff.woods@berkeley.edu
91447,"Alpha Epsilon Delta, Pre-medical Honor Society",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/alphaepsilondelta,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
94109,Alpha Epsilon Omega,No,Not Started,1,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphaepsilonomega,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods atjeff.woods@berkeley.edu
91633,Alpha Epsilon Pi,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphaepsilonpifraternityxachapter,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
45856,"Alpha Epsilon Zeta Fraternity, Inc.",Yes,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AEZ,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91634,Alpha Gamma Omega,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphagammaomega,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
158536,"Alpha Generation, The",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/alpha,LEAD Center Category: Engineering/Computer Science RSO,Melissa Landeros at melissalanderos@berkeley.edu
45987,"Alpha Kappa Alpha Sorority, Inc.",No,Not Started,1,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphakappaalphasorority,LEAD Center Category: CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
91909,alpha Kappa Delta Phi Sorority ,No,Not Started,6,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/aKDPhi,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods atjeff.woods@berkeley.edu
91214,"Alpha Kappa Delta, Chi Chapter, International Sociology Honor Society",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/alphakappadelta,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
83092,Alpha Nu Sigma,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AlphaNuSigma,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91692,Alpha Phi,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphaphi,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods atjeff.woods@berkeley.edu
45988,"Alpha Phi Alpha Fraternity, Inc.",No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphaphialphafraternity,LEAD Center Category: CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
45857,Alpha Phi Omega,Yes,Approved,4,Yes,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/calaphio,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
94220,Alpha Pi Mu,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alphapimu,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
91218,Alpha Rho Chi,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/calapx,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91636,Alpha Sigma Phi,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphasigmaphi,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
91637,Alpha Tau Omega,No,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/alphatauomega,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
126022,Altered States and the Brain,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ASAB,LEAD Center Category: Graduate Student RSO,Jon Rey at jonrey@berkeley.edu
45989,Alternative Breaks,No,Not Started,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alternativebreaks,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
